Campaign,Type,Product,Channel,Advertiser,Industry,Agency,SFDC OID,Rep_ID,CPA/CPM,Start Date,End Date,CPM Price,Contracted Impressions,Booked Impressions,Delivered Impressions,Contracted Deal,Revised Deal,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01
Rail Europe Bookers CPA: Aug 2012,Perf LAL,Perf LAL,Direct UK,Rail Europe,Travel,Conrad Advertising,0,,CPA,2012-08-02,2012-08-22,,2294,,,8500.0,8497.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13218.2083475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rail Europe: Booked CPA: June-July 2012,Perf LAL,Perf LAL,Direct UK,Rail Europe,Travel,Conrad Advertising,0,,CPA,2012-06-27,2012-07-20,3.4,4425,,,7395.0,15045.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3343.32139285714,20059.9283571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rail Europe: Bookers CPA - April-May 2012,Perf LAL,Perf LAL,Direct UK,Rail Europe,Travel,Conrad Advertising,0,,CPA,2012-04-11,2012-05-12,3.4,3200,,,10200.0,10880.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8059.23047619048,8865.15352380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rail Europe: Bookers CPA - June 2012,Perf LAL,Perf LAL,Direct UK,Rail Europe,Travel,Conrad Advertising,0,,CPA,2012-06-01,2012-06-24,3.4,3175,,,7395.0,10795.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16792.16225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raycom/ACC Championship: 2011 Fall Digital ,Perf LAL,Perf LAL,Inside,ACC Football Championship,Entertainment,Luquire George Andrews Advertising,,,CPM,2011-09-01,2011-12-02,3.0,13991667,,,34000.0,41975.0,0,0,0,0,0,0,0,0,0,0,0,0,13540.3225806452,13991.6666666667,12186.2903225806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red Lions Hotel: 2011 RLH Paid Media - August 2011,Perf LAL,Perf LAL,Direct,Red Lions Hotels,Travel,360i,,,CPM,2011-08-01,2011-08-31,4.0,6000000,,,24000.0,24000.0,0,0,0,0,0,0,0,0,0,0,0,24000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red Lions Hotel: 2011 RLH Paid Media - July 2011,Perf LAL,Perf LAL,Direct,Red Lions Hotels,Travel,360i,,,CPM,2011-07-01,2011-07-31,4.0,2500000,,,10000.0,10000.0,0,0,0,0,0,0,0,0,0,0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red Lions Hotel: 2011 RLH Paid Media - June 2011,Perf LAL,Perf LAL,Direct,Red Lions Hotels,Travel,360i,,,CPM,2011-06-17,2011-06-30,4.0,2500000,,,10000.0,10000.0,0,0,0,0,0,0,0,0,0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red Lions Hotel: 2011 RLH Paid Media - September 2011 *Cancelled 9/8/11*,Perf LAL,Perf LAL,Direct,Red Lions Hotels,Travel,360i,,,CPM,2011-09-01,2011-09-30,3.5,2857143,,,10000.0,2397.16,0,0,0,0,0,0,0,0,0,0,0,0,2397.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Redfin: Registrant Leads Q2 2012,Perf LAL,Perf LAL,Inside,Redfin,FS: Other,Direct,,,CPA,2012-04-25,2012-06-15,10.0,1500,,,15000.0,15000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7500.0,7500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reebok CPA Jan 2013,Perf LAL,Perf LAL,Inside,Reebok,Retail,Direct,14773,,CPA,2013-01-01,2013-01-31,24.0,625,,,15000.0,21984.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21984.0,0,0,0,0,0,0,0,0,0,0,0
Reebok: Dec 2011,Perf LAL,Perf LAL,Inside,Reebok,Retail,iProspect,,,CPM,2011-12-01,2011-12-31,3.5,14285714,,,50000.0,50000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reebok: Feb-June 2012 CPA Campaign,Perf LAL,Perf LAL,Inside,Reebok,Retail,iProspect,,,CPA,2012-02-16,2012-06-30,24.0,2958,,,15000.0,70992.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7308.0,16182.0,15660.0,16182.0,15660.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
